Frame,Right_Shoulder_X,Right_Shoulder_Y,Right_Elbow_X,Right_Elbow_Y,Right_Wrist_X,Right_Wrist_Y,Right_Angle,Left_Shoulder_X,Left_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Left_Angle
0,0.350131035,0.701822042,0.112118125,0.617507398,0.364287913,0.467019379,50.33398006,0.656924784,0.717817128,0.907288551,0.610941887,0.676784754,0.451701641,57.75475819
1,0.353767335,0.701020181,0.112678565,0.620069742,0.36398679,0.466313243,50.01983113,0.659514368,0.713658214,0.907992661,0.611638486,0.676742136,0.451651543,56.99877283
2,0.356606692,0.700243056,0.111355886,0.620637655,0.361751378,0.466278613,49.63500487,0.660341978,0.711936951,0.911275506,0.611760557,0.679362297,0.450552762,56.56660269
3,0.35884133,0.700591922,0.111397184,0.623139679,0.356853217,0.466292471,49.95930031,0.663361192,0.711975038,0.913428187,0.612731218,0.679593146,0.450288653,56.43386231
4,0.358715326,0.700758278,0.110143363,0.629374266,0.353220016,0.464276016,50.20726073,0.663507402,0.712217927,0.917067409,0.615383029,0.680859804,0.447033405,56.38011229
5,0.358548701,0.700533152,0.105943635,0.629406095,0.348995805,0.464162469,49.93641521,0.663574576,0.713752687,0.919492841,0.620291591,0.68424207,0.446854889,56.46133458
6,0.358862728,0.70055449,0.105030194,0.632868052,0.347308993,0.463070899,49.95501286,0.663760066,0.715110719,0.92127049,0.623819351,0.687040865,0.44652766,56.64278248
7,0.359016925,0.702278256,0.102833427,0.634550393,0.343633085,0.46306482,50.26521031,0.664477229,0.716040373,0.923119903,0.626212537,0.68911016,0.446441114,56.68461939
8,0.359149605,0.707839072,0.10297928,0.639477611,0.343985677,0.457440674,52.00620513,0.664762199,0.716127694,0.923435569,0.629819334,0.689817488,0.446446955,56.58088349
9,0.359126925,0.709223986,0.102900326,0.64217025,0.344499856,0.44811222,53.43744627,0.664803386,0.716013491,0.924353719,0.632402718,0.694809496,0.444970727,57.08867773
10,0.357164711,0.712055266,0.095077142,0.642411888,0.340885162,0.44779247,53.2516181,0.66492641,0.716351867,0.926214397,0.637146711,0.70006448,0.444318265,57.31663784
11,0.354936838,0.711901963,0.09417145,0.643755019,0.33728978,0.44780919,53.51353898,0.664929986,0.715481877,0.926636815,0.641474664,0.702770829,0.443258554,57.31261739
12,0.353773326,0.711563766,0.094632164,0.64490962,0.33801049,0.445236742,53.79067366,0.664994597,0.715410292,0.926588058,0.644110799,0.702807128,0.438638866,57.80374564
13,0.35183841,0.711445749,0.093615428,0.647322237,0.3337439,0.444631785,54.11337752,0.665005803,0.715376258,0.928425491,0.647025168,0.707111478,0.438402742,57.8552291
14,0.350933701,0.711129963,0.090543941,0.64899379,0.329614401,0.443983614,54.03544873,0.66553849,0.7155568,0.928303063,0.648047686,0.707639873,0.43687731,58.14941608
15,0.351506025,0.71094799,0.090927891,0.652650714,0.330559403,0.432491034,55.18572718,0.668155372,0.714901507,0.930170655,0.649555266,0.713412166,0.434663802,58.75598605
16,0.351549536,0.710838318,0.091123775,0.656433046,0.322081387,0.429821581,56.25569524,0.669117212,0.71490413,0.930472195,0.651124418,0.717615008,0.430866152,59.69309413
17,0.351561636,0.710746944,0.091340095,0.659980476,0.321004093,0.428558737,56.25756498,0.669611812,0.715433955,0.932762265,0.653679788,0.721772313,0.427720249,60.16891232
18,0.351404786,0.709661722,0.091605172,0.668789446,0.302428395,0.424678177,58.1255598,0.669595122,0.715884209,0.932803154,0.658595085,0.727089643,0.421334326,61.35286973
19,0.351536453,0.709589601,0.092166297,0.673932314,0.299753189,0.423117816,58.21485737,0.669974625,0.71529454,0.933107734,0.663170457,0.733533502,0.419037491,61.9393075
20,0.350763142,0.709833682,0.091310151,0.676201284,0.298753053,0.419877201,58.40273437,0.669963956,0.714968026,0.93344593,0.667268395,0.73499459,0.417626023,61.77875745
21,0.350547314,0.710121512,0.089283042,0.681707501,0.296716094,0.41868633,57.94558804,0.670092583,0.715557277,0.934099674,0.671279013,0.735434532,0.416929692,61.52842039
22,0.35070166,0.710079968,0.089437641,0.683767736,0.296653092,0.416731358,57.94011689,0.670308411,0.715500295,0.934468091,0.675376952,0.73669374,0.416457355,61.26246272
23,0.349746585,0.710420489,0.089366488,0.68444103,0.295505732,0.416987419,58.07468231,0.670282364,0.716502488,0.934518993,0.678823411,0.737118125,0.416706353,61.13196175
24,0.348662913,0.710389793,0.089332804,0.685789049,0.292478472,0.417113632,58.32606249,0.670175731,0.717114866,0.935101867,0.684204221,0.742900908,0.42077148,60.96678132
25,0.348913461,0.710383773,0.0894036,0.692697108,0.288220704,0.417388141,58.06360655,0.671007454,0.717112005,0.935399354,0.690532863,0.748766124,0.425973445,60.53959471
